step_id;step_name;voltage [V];power [W];current [A];mfc1 [ml/min];mfc2 [ml/min];samplingrate [Hz];duration [min]
0;Initinal Clean;4,5;3;1;500;0;1;0,30
1;heating up;0,1;2;1;200;0;1;30
2;Measure_1;0,1;2;1;100;100;1;30
3;Blank_1;0,1;2;1;200;0;1;30
4;Measure_2;0,1;2;1;100;100;1;30
5;Blank_2;0,1;2;1;200;0;1;30
6;Measure_3;0,1;2;1;100;100;1;30
7;Blank_3;0,1;2;1;200;0;1;30
8;heating up;1;2;1;200;0;1;30
9;Measure_4;1;2;1;100;100;1;30
10;Blank_4;1;2;1;200;0;1;30
11;Measure_5;1;2;1;100;100;1;30
12;Blank_5;1;2;1;200;0;1;30
13;Measure_6;1;2;1;100;100;1;30
14;Blank_6;1;2;1;200;0;1;30
15;heating up;2;2;1;200;0;1;30
16;Measure_7;2;2;1;100;100;1;30
17;Blank_7;2;2;1;200;0;1;30
18;Measure_8;2;2;1;100;100;1;30
19;Blank_8;2;2;1;200;0;1;30
20;Measure_9;2;2;1;100;100;1;30
21;Blank_9;2;2;1;200;0;1;30
22;heating up;3;2;1;200;0;1;30
23;Measure_10;3;2;1;100;100;1;30
24;Blank_10;3;2;1;200;0;1;30
25;Measure_11;3;2;1;100;100;1;30
26;Blank_11;3;2;1;200;0;1;30
27;Measure_12;3;2;1;100;100;1;30
28;Blank_12;3;2;1;200;0;1;30
29;heating up;4;2;1;200;0;1;30
30;Measure_13;4;2;1;100;100;1;30
31;Blank_13;4;2;1;200;0;1;30
32;Measure_14;4;2;1;100;100;1;30
33;Blank_14;4;2;1;200;0;1;30
34;Measure_15;4;2;1;100;100;1;30
35;Blank_15;4;2;1;200;0;1;30
